2016-11-06 17:15:49 status unpacked libdebconfclient0:armhf 0.192
2016-11-06 17:15:49 install coreutils:armhf <none> 8.23-4
2016-11-06 17:15:49 status half-installed coreutils:armhf 8.23-4
2016-11-06 17:15:50 status unpacked coreutils:armhf 8.23-4
2016-11-06 17:15:50 status unpacked coreutils:armhf 8.23-4
2016-11-06 17:15:50 install libcryptsetup4:armhf <none> 2:1.6.6-5
2016-11-06 17:15:50 status half-installed libcryptsetup4:armhf 2:1.6.6-5
2016-11-06 17:15:50 status unpacked libcryptsetup4:armhf 2:1.6.6-5
2016-11-06 17:15:50 status unpacked libcryptsetup4:armhf 2:1.6.6-5
2016-11-06 17:15:50 install dash:armhf <none> 0.5.7-4+b1
2016-11-06 17:15:50 status half-installed dash:armhf 0.5.7-4+b1
2016-11-06 17:15:50 status unpacked dash:armhf 0.5.7-4+b1
2016-11-06 17:15:50 status unpacked dash:armhf 0.5.7-4+b1
2016-11-06 17:15:51 install libdb5.3:armhf <none> 5.3.28-9
2016-11-06 17:15:51 status half-installed libdb5.3:armhf 5.3.28-9
2016-11-06 17:15:51 status unpacked libdb5.3:armhf 5.3.28-9
2016-11-06 17:15:51 status unpacked libdb5.3:armhf 5.3.28-9
2016-11-06 17:15:51 upgrade debconf:all 1.5.56 1.5.56
2016-11-06 17:15:51 status half-configured debconf:all 1.5.56
2016-11-06 17:15:51 status unpacked debconf:all 1.5.56
2016-11-06 17:15:51 status half-installed debconf:all 1.5.56
2016-11-06 17:15:51 status half-installed debconf:all 1.5.56
2016-11-06 17:15:51 status unpacked debconf:all 1.5.56
2016-11-06 17:15:51 status unpacked debconf:all 1.5.56
2016-11-06 17:15:51 install debconf-i18n:all <none> 1.5.56
2016-11-06 17:15:51 status half-installed debconf-i18n:all 1.5.56
2016-11-06 17:15:52 status unpacked debconf-i18n:all 1.5.56
2016-11-06 17:15:52 status unpacked debconf-i18n:all 1.5.56
2016-11-06 17:15:52 install debianutils:armhf <none> 4.4+b1
2016-11-06 17:15:52 status half-installed debianutils:armhf 4.4+b1
2016-11-06 17:15:52 status unpacked debianutils:armhf 4.4+b1
2016-11-06 17:15:52 status unpacked debianutils:armhf 4.4+b1
2016-11-06 17:15:52 install diffutils:armhf <none> 1:3.3-1+b1
2016-11-06 17:15:52 status half-installed diffutils:armhf 1:3.3-1+b1
2016-11-06 17:15:52 status unpacked diffutils:armhf 1:3.3-1+b1
2016-11-06 17:15:52 status unpacked diffutils:armhf 1:3.3-1+b1
2016-11-06 17:15:52 upgrade dpkg:armhf 1.17.27 1.17.27
2016-11-06 17:15:52 status half-configured dpkg:armhf 1.17.27
2016-11-06 17:15:52 status unpacked dpkg:armhf 1.17.27
2016-11-06 17:15:52 status half-installed dpkg:armhf 1.17.27
2016-11-06 17:15:52 status half-installed dpkg:armhf 1.17.27
2016-11-06 17:15:52 status unpacked dpkg:armhf 1.17.27
2016-11-06 17:15:52 status unpacked dpkg:armhf 1.17.27
2016-11-06 17:15:53 install e2fslibs:armhf <none> 1.42.12-2
2016-11-06 17:15:53 status half-installed e2fslibs:armhf 1.42.12-2
2016-11-06 17:15:53 status unpacked e2fslibs:armhf 1.42.12-2
2016-11-06 17:15:53 status unpacked e2fslibs:armhf 1.42.12-2
2016-11-06 17:15:53 install e2fsprogs:armhf <none> 1.42.12-2
2016-11-06 17:15:53 status half-installed e2fsprogs:armhf 1.42.12-2
2016-11-06 17:15:53 status unpacked e2fsprogs:armhf 1.42.12-2
2016-11-06 17:15:53 status unpacked e2fsprogs:armhf 1.42.12-2
2016-11-06 17:15:53 install libcomerr2:armhf <none> 1.42.12-2
2016-11-06 17:15:53 status half-installed libcomerr2:armhf 1.42.12-2
2016-11-06 17:15:53 status unpacked libcomerr2:armhf 1.42.12-2
2016-11-06 17:15:53 status unpacked libcomerr2:armhf 1.42.12-2
2016-11-06 17:15:53 install libss2:armhf <none> 1.42.12-2
2016-11-06 17:15:53 status half-installed libss2:armhf 1.42.12-2
2016-11-06 17:15:53 status unpacked libss2:armhf 1.42.12-2
2016-11-06 17:15:53 status unpacked libss2:armhf 1.42.12-2
2016-11-06 17:15:53 install findutils:armhf <none> 4.4.2-9+b1
2016-11-06 17:15:53 status half-installed findutils:armhf 4.4.2-9+b1
2016-11-06 17:15:54 status unpacked findutils:armhf 4.4.2-9+b1
2016-11-06 17:15:54 status unpacked findutils:armhf 4.4.2-9+b1
2016-11-06 17:15:54 install gcc-4.8-base:armhf <none> 4.8.4-1
2016-11-06 17:15:54 status half-installed gcc-4.8-base:armhf 4.8.4-1
2016-11-06 17:15:54 status unpacked gcc-4.8-base:armhf 4.8.4-1
2016-11-06 17:15:54 status unpacked gcc-4.8-base:armhf 4.8.4-1
2016-11-06 17:15:54 install gcc-4.9-base:armhf <none> 4.9.2-10
2016-11-06 17:15:54 status half-installed gcc-4.9-base:armhf 4.9.2-10
2016-11-06 17:15:54 status unpacked gcc-4.9-base:armhf 4.9.2-10
2016-11-06 17:15:54 status unpacked gcc-4.9-base:armhf 4.9.2-10
2016-11-06 17:15:54 install libgcc1:armhf <none> 1:4.9.2-10
2016-11-06 17:15:54 status half-installed libgcc1:armhf 1:4.9.2-10
2016-11-06 17:15:54 status unpacked libgcc1:armhf 1:4.9.2-10
2016-11-06 17:15:54 status unpacked libgcc1:armhf 1:4.9.2-10
2016-11-06 17:15:54 install libc-bin:armhf <none> 2.19-18+deb8u6
2016-11-06 17:15:54 status half-installed libc-bin:armhf 2.19-18+deb8u6
2016-11-06 17:15:54 status unpacked libc-bin:armhf 2.19-18+deb8u6
2016-11-06 17:15:54 status unpacked libc-bin:armhf 2.19-18+deb8u6
2016-11-06 17:15:54 upgrade libc6:armhf 2.19-18+deb8u6 2.19-18+deb8u6
2016-11-06 17:15:54 status half-configured libc6:armhf 2.19-18+deb8u6
2016-11-06 17:15:55 status unpacked libc6:armhf 2.19-18+deb8u6
2016-11-06 17:15:55 status half-installed libc6:armhf 2.19-18+deb8u6
2016-11-06 17:15:57 status half-installed libc6:armhf 2.19-18+deb8u6
2016-11-06 17:15:57 status unpacked libc6:armhf 2.19-18+deb8u6
2016-11-06 17:15:57 status unpacked libc6:armhf 2.19-18+deb8u6
2016-11-06 17:15:57 install multiarch-support:armhf <none> 2.19-18+deb8u6
2016-11-06 17:15:57 status half-installed multiarch-support:armhf 2.19-18+deb8u6
2016-11-06 17:15:57 status unpacked multiarch-support:armhf 2.19-18+deb8u6
2016-11-06 17:15:57 status unpacked multiarch-support:armhf 2.19-18+deb8u6
2016-11-06 17:15:57 install grep:armhf <none> 2.20-4.1
2016-11-06 17:15:57 status half-installed grep:armhf 2.20-4.1
2016-11-06 17:15:57 status unpacked grep:armhf 2.20-4.1
2016-11-06 17:15:57 status unpacked grep:armhf 2.20-4.1
2016-11-06 17:15:57 install gzip:armhf <none> 1.6-4
2016-11-06 17:15:57 status half-installed gzip:armhf 1.6-4
2016-11-06 17:15:57 status unpacked gzip:armhf 1.6-4
2016-11-06 17:15:57 status unpacked gzip:armhf 1.6-4
2016-11-06 17:15:57 install hostname:armhf <none> 3.15
2016-11-06 17:15:57 status half-installed hostname:armhf 3.15
2016-11-06 17:15:57 status unpacked hostname:armhf 3.15
2016-11-06 17:15:57 status unpacked hostname:armhf 3.15
2016-11-06 17:15:57 install init:armhf <none> 1.22
2016-11-06 17:15:57 status half-installed init:armhf 1.22
2016-11-06 17:15:57 status unpacked init:armhf 1.22
2016-11-06 17:15:57 status unpacked init:armhf 1.22
2016-11-06 17:15:58 install insserv:armhf <none> 1.14.0-5
2016-11-06 17:15:58 status half-installed insserv:armhf 1.14.0-5
2016-11-06 17:15:58 status unpacked insserv:armhf 1.14.0-5
2016-11-06 17:15:58 status unpacked insserv:armhf 1.14.0-5
2016-11-06 17:15:58 install libkmod2:armhf <none> 18-3
2016-11-06 17:15:58 status half-installed libkmod2:armhf 18-3
2016-11-06 17:15:58 status unpacked libkmod2:armhf 18-3
2016-11-06 17:15:58 status unpacked libkmod2:armhf 18-3
2016-11-06 17:15:58 install libcap2:armhf <none> 1:2.24-8
2016-11-06 17:15:58 status half-installed libcap2:armhf 1:2.24-8
2016-11-06 17:15:58 status unpacked libcap2:armhf 1:2.24-8
2016-11-06 17:15:58 status unpacked libcap2:armhf 1:2.24-8
2016-11-06 17:15:58 install libcap2-bin:armhf <none> 1:2.24-8
2016-11-06 17:15:58 status half-installed libcap2-bin:armhf 1:2.24-8
2016-11-06 17:15:58 status unpacked libcap2-bin:armhf 1:2.24-8
2016-11-06 17:15:58 status unpacked libcap2-bin:armhf 1:2.24-8
2016-11-06 17:15:58 install libgcrypt20:armhf <none> 1.6.3-2+deb8u2
2016-11-06 17:15:58 status half-installed libgcrypt20:armhf 1.6.3-2+deb8u2
2016-11-06 17:15:58 status unpacked libgcrypt20:armhf 1.6.3-2+deb8u2
2016-11-06 17:15:58 status unpacked libgcrypt20:armhf 1.6.3-2+deb8u2
2016-11-06 17:15:58 install libgpg-error0:armhf <none> 1.17-3
2016-11-06 17:15:58 status half-installed libgpg-error0:armhf 1.17-3
2016-11-06 17:15:59 status unpacked libgpg-error0:armhf 1.17-3
2016-11-06 17:15:59 status unpacked libgpg-error0:armhf 1.17-3
2016-11-06 17:15:59 install liblocale-gettext-perl:armhf <none> 1.05-8+b1
2016-11-06 17:15:59 status half-installed liblocale-gettext-perl:armhf 1.05-8+b1
2016-11-06 17:15:59 status unpacked liblocale-gettext-perl:armhf 1.05-8+b1
2016-11-06 17:15:59 status unpacked liblocale-gettext-perl:armhf 1.05-8+b1
2016-11-06 17:15:59 install libselinux1:armhf <none> 2.3-2
2016-11-06 17:15:59 status half-installed libselinux1:armhf 2.3-2
2016-11-06 17:15:59 status unpacked libselinux1:armhf 2.3-2
2016-11-06 17:15:59 status unpacked libselinux1:armhf 2.3-2
2016-11-06 17:15:59 install libsemanage-common:all <none> 2.3-1
2016-11-06 17:15:59 status half-installed libsemanage-common:all 2.3-1
2016-11-06 17:15:59 status unpacked libsemanage-common:all 2.3-1
2016-11-06 17:15:59 status unpacked libsemanage-common:all 2.3-1
2016-11-06 17:15:59 install libsemanage1:armhf <none> 2.3-1+b1
2016-11-06 17:15:59 status half-installed libsemanage1:armhf 2.3-1+b1
2016-11-06 17:15:59 status unpacked libsemanage1:armhf 2.3-1+b1
2016-11-06 17:15:59 status unpacked libsemanage1:armhf 2.3-1+b1
2016-11-06 17:15:59 install libsepol1:armhf <none> 2.3-2
2016-11-06 17:15:59 status half-installed libsepol1:armhf 2.3-2
2016-11-06 17:15:59 status unpacked libsepol1:armhf 2.3-2
2016-11-06 17:15:59 status unpacked libsepol1:armhf 2.3-2
2016-11-06 17:16:00 install libtext-charwidth-perl:armhf <none> 0.04-7+b4
2016-11-06 17:16:00 status half-installed libtext-charwidth-perl:armhf 0.04-7+b4
2016-11-06 17:16:00 status unpacked libtext-charwidth-perl:armhf 0.04-7+b4
2016-11-06 17:16:00 status unpacked libtext-charwidth-perl:armhf 0.04-7+b4
2016-11-06 17:16:00 install libtext-iconv-perl:armhf <none> 1.7-5+b2
2016-11-06 17:16:00 status half-installed libtext-iconv-perl:armhf 1.7-5+b2
2016-11-06 17:16:00 status unpacked libtext-iconv-perl:armhf 1.7-5+b2
2016-11-06 17:16:00 status unpacked libtext-iconv-perl:armhf 1.7-5+b2
2016-11-06 17:16:00 install libtext-wrapi18n-perl:all <none> 0.06-7
2016-11-06 17:16:00 status half-installed libtext-wrapi18n-perl:all 0.06-7
2016-11-06 17:16:00 status unpacked libtext-wrapi18n-perl:all 0.06-7
2016-11-06 17:16:00 status unpacked libtext-wrapi18n-perl:all 0.06-7
2016-11-06 17:16:00 install lsb-base:all <none> 4.1+Debian13+nmu1
2016-11-06 17:16:00 status half-installed lsb-base:all 4.1+Debian13+nmu1
2016-11-06 17:16:00 status unpacked lsb-base:all 4.1+Debian13+nmu1
2016-11-06 17:16:00 status unpacked lsb-base:all 4.1+Debian13+nmu1
2016-11-06 17:16:00 install dmsetup:armhf <none> 2:1.02.90-2.2+deb8u1
2016-11-06 17:16:00 status half-installed dmsetup:armhf 2:1.02.90-2.2+deb8u1
2016-11-06 17:16:00 status unpacked dmsetup:armhf 2:1.02.90-2.2+deb8u1
2016-11-06 17:16:00 status unpacked dmsetup:armhf 2:1.02.90-2.2+deb8u1
2016-11-06 17:16:00 install libdevmapper1.02.1:armhf <none> 2:1.02.90-2.2+deb8u1
2016-11-06 17:16:00 status half-installed libdevmapper1.02.1:armhf 2:1.02.90-2.2+deb8u1
2016-11-06 17:16:00 status unpacked libdevmapper1.02.1:armhf 2:1.02.90-2.2+deb8u1
2016-11-06 17:16:00 status unpacked libdevmapper1.02.1:armhf 2:1.02.90-2.2+deb8u1
2016-11-06 17:16:01 upgrade mawk:armhf 1.3.3-17 1.3.3-17
